PM10 Concentration,PM10 Unit,DatetimeBegin,DatetimeEnd,PM2.5 Concentration,PM2.5 Unit,CO Concentration,CO Unit,NO2 Concentration,NO2 Unit
38.942,µg/m3,2018-01-01 00:00:00 +01:00,2018-01-01 01:00:00 +01:00,46.40899999,µg/m3,0.46168,mg/m3,21.60559999,µg/m3
52.889,µg/m3,2018-01-01 01:00:00 +01:00,2018-01-01 02:00:00 +01:00,53.46699999,µg/m3,0.43268,mg/m3,21.1869,µg/m3
37.00699999,µg/m3,2018-01-01 02:00:00 +01:00,2018-01-01 03:00:00 +01:00,37.66799999,µg/m3,0.39208,mg/m3,16.2845,µg/m3
35.837,µg/m3,2018-01-01 03:00:00 +01:00,2018-01-01 04:00:00 +01:00,37.33299999,µg/m3,0.38628,mg/m3,17.3246,µg/m3
34.408,µg/m3,2018-01-01 04:00:00 +01:00,2018-01-01 05:00:00 +01:00,29.12999999,µg/m3,0.36308,mg/m3,15.5656,µg/m3
25.82999999,µg/m3,2018-01-01 05:00:00 +01:00,2018-01-01 06:00:00 +01:00,20.06899999,µg/m3,0.34916,mg/m3,15.8792,µg/m3
18.978,µg/m3,2018-01-01 06:00:00 +01:00,2018-01-01 07:00:00 +01:00,18.331,µg/m3,0.36424,mg/m3,18.1831,µg/m3
23.23999999,µg/m3,2018-01-01 07:00:00 +01:00,2018-01-01 08:00:00 +01:00,22.538,µg/m3,0.3654,mg/m3,21.0167,µg/m3
23.07999999,µg/m3,2018-01-01 08:00:00 +01:00,2018-01-01 09:00:00 +01:00,25.15299999,µg/m3,0.34336,mg/m3,17.50049999,µg/m3
24.756,µg/m3,2018-01-01 09:00:00 +01:00,2018-01-01 10:00:00 +01:00,25.96999999,µg/m3,0.32828,mg/m3,13.96519999,µg/m3
28.271,µg/m3,2018-01-01 10:00:00 +01:00,2018-01-01 11:00:00 +01:00,27.39099999,µg/m3,0.33872,mg/m3,12.2521,µg/m3
24.46099999,µg/m3,2018-01-01 11:00:00 +01:00,2018-01-01 12:00:00 +01:00,25.539,µg/m3,0.36076,mg/m3,17.0742,µg/m3
27.21699999,µg/m3,2018-01-01 12:00:00 +01:00,2018-01-01 13:00:00 +01:00,24.465,µg/m3,0.37932,mg/m3,23.5367,µg/m3
27.71999999,µg/m3,2018-01-01 13:00:00 +01:00,2018-01-01 14:00:00 +01:00,25.72599999,µg/m3,0.40948,mg/m3,32.2879,µg/m3
24.963,µg/m3,2018-01-01 14:00:00 +01:00,2018-01-01 15:00:00 +01:00,25.26099999,µg/m3,0.34452,mg/m3,33.43319999,µg/m3
24.66499999,µg/m3,2018-01-01 15:00:00 +01:00,2018-01-01 16:00:00 +01:00,25.661,µg/m3,0.41876,mg/m3,40.8575,µg/m3
27.53999999,µg/m3,2018-01-01 16:00:00 +01:00,2018-01-01 17:00:00 +01:00,29.478,µg/m3,0.54868,mg/m3,53.4538,µg/m3
27.634,µg/m3,2018-01-01 17:00:00 +01:00,2018-01-01 18:00:00 +01:00,36.703,µg/m3,0.6032,mg/m3,52.95089999,µg/m3
37.79999999,µg/m3,2018-01-01 18:00:00 +01:00,2018-01-01 19:00:00 +01:00,41.953,µg/m3,0.57304,mg/m3,39.1214,µg/m3
41.481,µg/m3,2018-01-01 19:00:00 +01:00,2018-01-01 20:00:00 +01:00,44.25399999,µg/m3,0.51852,mg/m3,35.5651,µg/m3
49.295,µg/m3,2018-01-01 20:00:00 +01:00,2018-01-01 21:00:00 +01:00,40.304,µg/m3,0.58696,mg/m3,36.57459999,µg/m3
48.31199999,µg/m3,2018-01-01 21:00:00 +01:00,2018-01-01 22:00:00 +01:00,32.82099999,µg/m3,0.56028,mg/m3,31.46,µg/m3
34.183,µg/m3,2018-01-01 22:00:00 +01:00,2018-01-01 23:00:00 +01:00,28.67599999,µg/m3,0.54636,mg/m3,27.0816,µg/m3
30.72599999,µg/m3,2018-01-01 23:00:00 +01:00,2018-01-02 00:00:00 +01:00,24.76899999,µg/m3,0.4872,mg/m3,21.94399999,µg/m3
28.241,µg/m3,2018-01-02 00:00:00 +01:00,2018-01-02 01:00:00 +01:00,23.803,µg/m3,0.45704,mg/m3,17.8218,µg/m3
27.76399999,µg/m3,2018-01-02 01:00:00 +01:00,2018-01-02 02:00:00 +01:00,19.856,µg/m3,0.41992,mg/m3,15.7969,µg/m3
25.97299999,µg/m3,2018-01-02 02:00:00 +01:00,2018-01-02 03:00:00 +01:00,18.11199999,µg/m3,0.39672,mg/m3,14.1373,µg/m3
28.02499999,µg/m3,2018-01-02 03:00:00 +01:00,2018-01-02 04:00:00 +01:00,18.83299999,µg/m3,0.377,mg/m3,13.10479999,µg/m3
26.885,µg/m3,2018-01-02 04:00:00 +01:00,2018-01-02 05:00:00 +01:00,18.69,µg/m3,0.36192,mg/m3,14.015,µg/m3
27.27199999,µg/m3,2018-01-02 05:00:00 +01:00,2018-01-02 06:00:00 +01:00,19.92899999,µg/m3,0.38164,mg/m3,16.79309999,µg/m3
26.23499999,µg/m3,2018-01-02 06:00:00 +01:00,2018-01-02 07:00:00 +01:00,19.92599999,µg/m3,0.44196,mg/m3,26.2193,µg/m3
25.292,µg/m3,2018-01-02 07:00:00 +01:00,2018-01-02 08:00:00 +01:00,18.177,µg/m3,0.4988,mg/m3,37.80599999,µg/m3
