PM10 Concentration,DatetimeBegin,PM2.5 Concentration,CO Concentration,NO2 Concentration,SO2 Concentration,C6H6 Concentration
38.942,2018-01-01 00:00:00,46.40899999,0.46168,21.60559999,5.36549,1.10825
52.889,2018-01-01 01:00:00,53.46699999,0.43268,21.1869,7.363020288253205,0.936
37.00699999,2018-01-01 02:00:00,37.66799999,0.39208,16.2845,5.14364,0.69225
35.837,2018-01-01 03:00:00,37.33299999,0.38628,17.3246,5.16465999,0.598
34.408,2018-01-01 04:00:00,29.12999999,0.36308,15.5656,5.23301999,0.572
25.82999999,2018-01-01 05:00:00,20.06899999,0.34916,15.8792,5.13459999,0.52975
18.978,2018-01-01 06:00:00,18.331,0.36424,18.1831,5.31601,0.50049999
23.23999999,2018-01-01 07:00:00,22.538,0.3654,21.0167,5.34607,0.53625
23.07999999,2018-01-01 08:00:00,25.15299999,0.34336,17.50049999,5.20774999,0.49725
24.756,2018-01-01 09:00:00,25.96999999,0.32828,13.96519999,5.10400999,0.481
28.271,2018-01-01 10:00:00,27.39099999,0.33872,12.2521,4.97207,0.4875
24.46099999,2018-01-01 11:00:00,25.539,0.36076,17.0742,6.08687999,0.46475
27.21699999,2018-01-01 12:00:00,24.465,0.37932,23.5367,5.71208,0.494
27.71999999,2018-01-01 13:00:00,25.72599999,0.40948,32.2879,5.88286,0.51675
24.963,2018-01-01 14:00:00,25.26099999,0.34452,33.43319999,5.8129,0.3835
24.66499999,2018-01-01 15:00:00,25.661,0.41876,40.8575,5.58732999,0.35425
27.53999999,2018-01-01 16:00:00,29.478,0.54868,53.4538,5.27477999,0.4875
27.634,2018-01-01 17:00:00,36.703,0.6032,52.95089999,5.74666,0.73125
37.79999999,2018-01-01 18:00:00,41.953,0.57304,39.1214,5.74321,1.10825
41.481,2018-01-01 19:00:00,44.25399999,0.51852,35.5651,5.41389999,1.3065
49.295,2018-01-01 20:00:00,40.304,0.58696,36.57459999,5.52641999,1.20575
48.31199999,2018-01-01 21:00:00,32.82099999,0.56028,31.46,5.36362,1.2155
34.183,2018-01-01 22:00:00,28.67599999,0.54636,27.0816,5.23726999,1.0985
30.72599999,2018-01-01 23:00:00,24.76899999,0.4872,21.94399999,5.33568999,0.923
28.241,2018-01-02 00:00:00,23.803,0.45704,17.8218,5.55248,0.7995
27.76399999,2018-01-02 01:00:00,19.856,0.41992,15.7969,4.188886754950785,0.71825
25.97299999,2018-01-02 02:00:00,18.11199999,0.39672,14.1373,5.21839,0.6435
28.02499999,2018-01-02 03:00:00,18.83299999,0.377,13.10479999,5.40564999,0.637
26.885,2018-01-02 04:00:00,18.69,0.36192,14.015,5.29872,0.6435
27.27199999,2018-01-02 05:00:00,19.92899999,0.38164,16.79309999,5.30802999,0.6565
26.23499999,2018-01-02 06:00:00,19.92599999,0.44196,26.2193,5.25269999,0.676
25.292,2018-01-02 07:00:00,18.177,0.4988,37.80599999,5.44528999,0.7735
23.382,2018-01-02 08:00:00,19.399,0.57304,43.4177,5.33356999,1.00099999
27.35999999,2018-01-02 09:00:00,21.96399999,0.68556,55.3639,5.74587,1.21225
33.563,2018-01-02 10:00:00,18.945,0.7946,60.18209999,6.0765,1.44625
20.89099999,2018-01-02 11:00:00,11.002,0.53128,52.45949999,6.81625,4.37774999
8.13049999,2018-01-02 12:00:00,5.42689999,0.24592,26.2804,5.96105999,0.4875
9.0378,2018-01-02 13:00:00,3.59359999,0.2262,16.7529,5.65435999,0.117
6.11549999,2018-01-02 14:00:00,4.17879999,0.18676,16.3457,5.39208999,0.0845
4.67659999,2018-01-02 15:00:00,3.769,0.2146,19.36659999,5.25962,0.091
3.7631,2018-01-02 16:00:00,3.095,0.20996,15.8122,5.35909999,0.0845
5.0846,2018-01-02 17:00:00,2.70449999,0.24824,20.0378,5.31601,0.1105
4.8906,2018-01-02 18:00:00,2.73919999,0.3074,35.98769999,4.92764999,0.16575
4.5385,2018-01-02 19:00:00,3.5691,0.29696,34.44279999,4.86381,0.18525
4.2103,2018-01-02 20:00:00,4.9476,0.24128,17.9269,5.34367,0.15275
